"jahr","kw","alterskategegorie","anzahl_falleingaenge"
"2020","44","40-49","777"
"2020","44","50-59","784"
"2020","44","60-69","476"
"2020","44","70-79","314"
"2020","44","80-89","184"
"2020","44","90-99","83"
"2020","43","0-9","26"
"2020","43","10-19","351"
"2020","43","100+","3"
"2020","43","20-29","649"
"2020","43","30-39","592"
"2020","43","40-49","543"
"2020","43","50-59","546"
"2020","43","60-69","356"
"2020","43","70-79","254"
"2020","43","80-89","143"
"2020","43","90-99","60"
"2020","42","0-9","11"
"2020","42","10-19","143"
"2020","42","100+","2"
"2020","42","20-29","334"
"2020","42","30-39","286"
"2020","42","40-49","288"
"2020","42","50-59","271"
"2020","42","60-69","169"
"2020","42","70-79","135"
"2020","42","80-89","58"
"2020","42","90-99","19"
"2020","41","0-9","2"
"2020","41","10-19","55"
"2020","41","100+","1"
"2020","41","20-29","180"
"2020","41","30-39","133"
"2020","41","40-49","89"
"2020","41","50-59","113"
"2020","41","60-69","50"
"2020","41","70-79","39"
"2020","41","80-89","16"
"2020","41","90-99","7"
"2020","40","10-19","22"
"2020","40","20-29","69"
"2020","40","30-39","54"
"2020","40","40-49","52"
"2020","40","50-59","63"
"2020","40","60-69","39"
"2020","40","70-79","22"
"2020","40","80-89","9"
"2020","40","90-99","1"
"2020","39","10-19","14"
"2020","39","20-29","43"
"2020","39","30-39","39"
"2020","39","40-49","39"
"2020","39","50-59","61"
"2020","39","60-69","19"
"2020","39","70-79","17"
"2020","39","80-89","8"
"2020","39","90-99","1"
"2020","38","0-9","2"
"2020","38","10-19","33"
"2020","38","20-29","66"
"2020","38","30-39","57"
"2020","38","40-49","60"
"2020","38","50-59","57"
"2020","38","60-69","26"
"2020","38","70-79","10"
"2020","38","80-89","2"
"2020","38","90-99","1"
"2020","37","10-19","23"
"2020","37","20-29","51"
"2020","37","30-39","28"
"2020","37","40-49","25"
"2020","37","50-59","31"
"2020","37","60-69","11"
"2020","37","70-79","6"
"2020","37","80-89","4"
"2020","37","90-99","1"
"2020","36","0-9","2"
"2020","36","10-19","18"
"2020","36","20-29","44"
"2020","36","30-39","29"
"2020","36","40-49","19"
"2020","36","50-59","23"
"2020","36","60-69","8"
"2020","36","70-79","6"
"2020","35","#null","1"
"2020","35","0-9","3"
"2020","35","10-19","23"
"2020","35","20-29","40"
"2020","35","30-39","25"
"2020","35","40-49","17"
"2020","35","50-59","12"
"2020","35","60-69","7"
"2020","35","70-79","1"
"2020","34","0-9","4"
"2020","34","10-19","14"
"2020","34","20-29","27"
"2020","34","30-39","13"
"2020","34","40-49","7"
"2020","34","50-59","13"
"2020","34","60-69","7"
"2020","34","70-79","4"
"2020","33","0-9","4"
"2020","33","10-19","7"
"2020","33","20-29","41"
"2020","33","30-39","21"
"2020","33","40-49","12"
"2020","33","50-59","11"
"2020","33","60-69","9"
"2020","33","70-79","6"
"2020","32","0-9","3"
"2020","32","10-19","14"
"2020","32","20-29","13"
"2020","32","30-39","10"
"2020","32","40-49","6"
"2020","32","50-59","7"
"2020","32","60-69","5"
"2020","32","70-79","2"
"2020","31","0-9","3"
"2020","31","10-19","4"
"2020","31","20-29","13"
"2020","31","30-39","14"
"2020","31","40-49","6"
"2020","31","50-59","12"
"2020","31","60-69","5"
"2020","31","70-79","4"
"2020","31","80-89","2"
"2020","30","0-9","1"
"2020","30","20-29","12"
"2020","30","30-39","10"
"2020","30","40-49","4"
"2020","30","50-59","3"
"2020","30","60-69","3"
"2020","30","70-79","3"
"2020","29","0-9","2"
"2020","29","10-19","4"
"2020","29","20-29","15"
"2020","29","30-39","4"
"2020","29","40-49","5"
"2020","29","50-59","9"
"2020","29","60-69","6"
"2020","29","70-79","4"
"2020","29","80-89","3"
"2020","28","10-19","3"
"2020","28","20-29","11"
"2020","28","30-39","7"
"2020","28","40-49","5"
"2020","28","50-59","7"
"2020","28","60-69","4"
"2020","28","70-79","2"
"2020","27","10-19","2"
"2020","27","20-29","12"
"2020","27","30-39","3"
"2020","27","40-49","2"
"2020","27","50-59","3"
"2020","27","60-69","5"
"2020","26","10-19","2"
"2020","26","20-29","3"
"2020","26","30-39","3"
"2020","26","40-49","1"
"2020","26","50-59","1"
"2020","26","60-69","2"
"2020","26","90-99","1"
"2020","25","20-29","4"
"2020","25","30-39","1"
"2020","25","50-59","4"
"2020","25","60-69","1"
"2020","24","0-9","3"
"2020","24","10-19","3"
"2020","24","20-29","2"
"2020","24","30-39","6"
"2020","24","40-49","2"
"2020","24","50-59","6"
"2020","24","60-69","6"
"2020","24","70-79","4"
"2020","24","80-89","1"
"2020","23","10-19","3"
"2020","23","20-29","1"
"2020","23","50-59","3"
"2020","23","60-69","1"
"2020","22","20-29","3"
"2020","22","30-39","4"
"2020","22","40-49","1"
"2020","22","50-59","2"
"2020","21","0-9","2"
"2020","21","10-19","1"
"2020","21","20-29","2"
"2020","21","30-39","2"
"2020","21","40-49","1"
"2020","21","50-59","1"
"2020","21","60-69","3"
"2020","21","70-79","2"
"2020","21","80-89","1"
"2020","20","10-19","1"
"2020","20","20-29","2"
"2020","20","30-39","3"
"2020","20","40-49","3"
"2020","20","50-59","6"
"2020","20","60-69","3"
"2020","20","70-79","2"
"2020","20","80-89","3"
"2020","20","90-99","1"
"2020","19","10-19","2"
"2020","19","20-29","6"
"2020","19","30-39","4"
"2020","19","40-49","3"
"2020","19","50-59","4"
"2020","19","60-69","2"
"2020","19","70-79","3"
"2020","19","80-89","9"
"2020","19","90-99","1"
"2020","18","0-9","1"
"2020","18","10-19","1"
"2020","18","20-29","16"
"2020","18","30-39","18"
"2020","18","40-49","11"
"2020","18","50-59","12"
"2020","18","60-69","4"
"2020","18","80-89","5"
"2020","18","90-99","4"
"2020","17","10-19","12"
"2020","17","20-29","27"
"2020","17","30-39","13"
"2020","17","40-49","12"
"2020","17","50-59","18"
"2020","17","60-69","11"
"2020","17","70-79","4"
"2020","17","80-89","3"
"2020","17","90-99","1"
"2020","16","0-9","1"
"2020","16","10-19","6"
"2020","16","100+","1"
"2020","16","20-29","22"
"2020","16","30-39","24"
"2020","16","40-49","18"
"2020","16","50-59","32"
"2020","16","60-69","11"
"2020","16","70-79","10"
"2020","16","80-89","12"
"2020","16","90-99","11"
"2020","15","0-9","1"
"2020","15","10-19","10"
"2020","15","20-29","48"
"2020","15","30-39","33"
"2020","15","40-49","37"
"2020","15","50-59","51"
"2020","15","60-69","22"
"2020","15","70-79","18"
"2020","15","80-89","26"
"2020","15","90-99","19"
"2020","14","#null","2"
"2020","14","10-19","14"
"2020","14","20-29","43"
"2020","14","30-39","44"
"2020","14","40-49","49"
"2020","14","50-59","69"
"2020","14","60-69","44"
"2020","14","70-79","32"
"2020","14","80-89","48"
"2020","14","90-99","18"
"2020","13","#null","1"
"2020","13","0-9","3"
"2020","13","10-19","7"
"2020","13","20-29","51"
"2020","13","30-39","46"
"2020","13","40-49","61"
"2020","13","50-59","83"
"2020","13","60-69","64"
"2020","13","70-79","44"
"2020","13","80-89","19"
"2020","13","90-99","8"
"2020","12","0-9","2"
"2020","12","10-19","15"
"2020","12","20-29","49"
"2020","12","30-39","49"
"2020","12","40-49","61"
"2020","12","50-59","76"
"2020","12","60-69","43"
"2020","12","70-79","22"
"2020","12","80-89","10"
"2020","12","90-99","4"
"2020","11","0-9","1"
"2020","11","10-19","1"
"2020","11","20-29","8"
"2020","11","30-39","15"
"2020","11","40-49","12"
"2020","11","50-59","19"
"2020","11","60-69","9"
"2020","11","70-79","2"
"2020","11","80-89","4"
"2020","11","90-99","1"
"2020","10","10-19","3"
"2020","10","20-29","2"
"2020","10","30-39","5"
"2020","10","40-49","4"
"2020","10","50-59","5"
"2020","10","60-69","4"
"2020","10","70-79","2"
"2020","10","80-89","2"
"2020","9","20-29","1"
